Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,818,Egypt,5312,Area harvested,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1961,1961,ha,1200,E,Estimated value,
QCL,Crops and livestock products,818,Egypt,5412,Yield,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1961,1961,kg/ha,833.3,E,Estimated value,
QCL,Crops and livestock products,818,Egypt,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1961,1961,t,1000,E,Estimated value,
QCL,Crops and livestock products,818,Egypt,5312,Area harvested,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1962,1962,ha,1200,E,Estimated value,
QCL,Crops and livestock products,818,Egypt,5412,Yield,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1962,1962,kg/ha,833.3,E,Estimated value,
QCL,Crops and livestock products,818,Egypt,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1962,1962,t,1000,E,Estimated value,
QCL,Crops and livestock products,818,Egypt,5312,Area harvested,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1963,1963,ha,1200,E,Estimated value,
QCL,Crops and livestock products,818,Egypt,5412,Yield,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1963,1963,kg/ha,833.3,E,Estimated value,
QCL,Crops and livestock products,818,Egypt,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1963,1963,t,1000,E,Estimated value,
QCL,Crops and livestock products,818,Egypt,5312,Area harvested,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1964,1964,ha,1200,E,Estimated value,
QCL,Crops and livestock products,818,Egypt,5412,Yield,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1964,1964,kg/ha,833.3,E,Estimated value,
QCL,Crops and livestock products,818,Egypt,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1964,1964,t,1000,E,Estimated value,
QCL,Crops and livestock products,818,Egypt,5312,Area harvested,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1965,1965,ha,1200,E,Estimated value,
QCL,Crops and livestock products,818,Egypt,5412,Yield,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1965,1965,kg/ha,833.3,E,Estimated value,
QCL,Crops and livestock products,818,Egypt,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1965,1965,t,1000,E,Estimated value,
QCL,Crops and livestock products,818,Egypt,5312,Area harvested,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1966,1966,ha,1200,E,Estimated value,
QCL,Crops and livestock products,818,Egypt,5412,Yield,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1966,1966,kg/ha,833.3,E,Estimated value,
QCL,Crops and livestock products,818,Egypt,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1966,1966,t,1000,E,Estimated value,
QCL,Crops and livestock products,818,Egypt,5312,Area harvested,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1967,1967,ha,1200,E,Estimated value,
QCL,Crops and livestock products,818,Egypt,5412,Yield,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1967,1967,kg/ha,833.3,E,Estimated value,
QCL,Crops and livestock products,818,Egypt,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1967,1967,t,1000,E,Estimated value,
QCL,Crops and livestock products,818,Egypt,5312,Area harvested,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1968,1968,ha,1200,E,Estimated value,
